session_id,day,iterations_before_accept
d8a0640d-6a25-4460-844a-16750f3cdfcc,2026-06-14,1
ec42a8e0-94dc-4738-acaa-2e447d131f9b,2026-06-14,0
08231acb-3fad-4c82-bf2f-05a58ec8d7f5,2026-06-15,1
b7115911-bc6a-4208-9b67-18a616ef372d,2026-06-15,0
c7aec3f7-7afb-479f-95af-61f3cf50cbb3,2026-06-15,0
4276d46d-b4e9-4c10-8364-9043ae5a067c,2026-06-15,2
89274806-4c7c-4218-921c-46e5233c669a,2026-06-15,1
1352c864-0e8c-47df-a4c6-93209b131c42,2026-06-15,1
b34e1fe1-0c4e-442f-8e14-1297b390b6a5,2026-06-16,2
0c7a7637-24dd-4ab0-8d6a-cc51f42c6b78,2026-06-16,1
3b327ad9-87a0-49e7-8274-4277afe37276,2026-06-17,2
