participant_id,trial_number,cluster,descriptor,option_a,option_b,option_c,option_d,correct_index,selected_index,is_correct,confidence_1to5,familiarity_1to5_for_descriptor,response_timestamp,form_id,is_duplicate_submission
p2,1,Roasted & Smoky,woodsmoke,fresh_bread,woodsmoke,Honeyed,vinegar-like,1,0,FALSE,4,4,29/07/2026 09:22:27,SESSION:p2,FALSE
p2,2,Floral,lavender,lemony,guava,rose,lavender,3,1,FALSE,3,5,29/07/2026 09:26:01,SESSION:p2,FALSE
p2,3,Floral,rose,rose,guava,lavender,tangy,0,0,TRUE,4,3,29/07/2026 09:27:38,SESSION:p2,FALSE
p2,4,Woody & Resinous,sandalwood,minty,sandalwood,Myrrh,lemony,1,0,FALSE,4,3,29/07/2026 09:29:13,SESSION:p2,FALSE
p2,5,Sweet & Gourmand,Honeyed,Vanilla,Honeyed,anise,woodsmoke,1,2,FALSE,5,3,29/07/2026 09:31:50,SESSION:p2,FALSE
p2,6,Herbal & Cooling,wintergreen,Myrrh,minty,cinnamon,wintergreen,3,3,TRUE,4,2,29/07/2026 09:33:12,SESSION:p2,FALSE
p2,7,Sweet & Gourmand,Maple-syrup,Maple-syrup,Coconut,toasty,peppery,0,0,TRUE,2,3,29/07/2026 09:34:36,SESSION:p2,FALSE
p2,8,Roasted & Smoky,smoky,toasty,butyric,Coconut,smoky,3,3,TRUE,5,5,29/07/2026 09:35:55,SESSION:p2,FALSE
p2,9,Citrus,guava,saffron,guava,lavender,tangy,1,3,FALSE,4,5,29/07/2026 09:37:15,SESSION:p2,FALSE
p2,10,Woody & Resinous,Myrrh,Myrrh,currant,Cedar,wintergreen,0,2,FALSE,5,1,29/07/2026 09:38:36,SESSION:p2,FALSE
p2,11,Citrus,tangy,rose,Cedar,currant,tangy,3,3,TRUE,5,2,29/07/2026 09:40:00,SESSION:p2,FALSE
p2,12,Herbal & Cooling,minty,anise,wintergreen,sandalwood,minty,3,0,FALSE,4,5,29/07/2026 09:42:38,SESSION:p2,FALSE
p2,13,Fermented & Sour,yeasty,fresh_bread,yeasty,musty,sour_milk,1,2,FALSE,5,5,29/07/2026 09:44:20,SESSION:p2,FALSE
p2,14,Spice,nutmeg,cumin,Honeyed,nutmeg,minty,2,2,TRUE,5,2,29/07/2026 09:45:30,SESSION:p2,FALSE
p2,15,Body & Animalic,wet_dog,musty,wet_dog,disinfectant,fishy,1,0,FALSE,5,5,29/07/2026 09:46:58,SESSION:p2,FALSE
p2,16,Putrid & Decay,rotten_fish,rotten_fish,musty,sour_milk,bad_breath,0,2,FALSE,4,5,29/07/2026 09:48:21,SESSION:p2,FALSE
p2,17,Fermented & Sour,sour_milk,rotten_fish,sour_milk,yeasty,toasty,1,2,FALSE,3,5,29/07/2026 09:49:52,SESSION:p2,FALSE
p2,18,Spice,cinnamon,anise,Vanilla,cinnamon,wintergreen,2,2,TRUE,5,5,29/07/2026 09:50:53,SESSION:p2,FALSE
p2,19,Chemical & Solvent,burnt_rubber,disinfectant,fishy,aftershave,burnt_rubber,3,3,TRUE,5,5,29/07/2026 09:51:57,SESSION:p2,FALSE
p2,20,Perfumed & Clean,air_freshener,air_freshener,disinfectant,perfumer,chlorine,0,1,FALSE,5,5,29/07/2026 09:53:06,SESSION:p2,FALSE
p2,21,Chemical & Solvent,nail-polisher,sweaty,chlorine,nail-polisher,skin-care,2,0,FALSE,5,5,29/07/2026 09:54:15,SESSION:p2,FALSE
p2,22,Perfumed & Clean,aftershave,burnt_rubber,aftershave,disinfectant,air_freshener,1,2,FALSE,5,4,29/07/2026 09:55:14,SESSION:p2,FALSE
p2,23,Body & Animalic,sweaty,feces,nail-polisher,sweaty,bad_breath,2,2,TRUE,5,4,29/07/2026 09:56:17,SESSION:p2,FALSE
p2,24,Putrid & Decay,rotten-egg,fishy,vinegar-like,rotten-egg,musty,2,1,FALSE,3,4,29/07/2026 09:58:01,SESSION:p2,FALSE
p3,1,Woody & Resinous,saffron,saffron,guava,eucalyptus,piney,0,2,FALSE,4,2,29/07/2026 12:15:14,SESSION:p3,FALSE
p3,2,Citrus,guava,guava,saffron,lavender,tangy,0,1,FALSE,3,2,29/07/2026 12:17:27,SESSION:p3,FALSE
p3,3,Herbal & Cooling,eucalyptus,saffron,rosemary,cumin,eucalyptus,3,1,FALSE,3,4,29/07/2026 12:19:30,SESSION:p3,FALSE
p3,4,Woody & Resinous,Cedar,Cedar,rosemary,saffron,tangy,0,0,TRUE,4,4,29/07/2026 12:22:32,SESSION:p3,FALSE
p3,5,Herbal & Cooling,rosemary,eucalyptus,rosemary,Cedar,peppery,1,0,FALSE,3,2,29/07/2026 12:24:48,SESSION:p3,FALSE
p3,6,Sweet & Gourmand,Honeyed,woodsmoke,Honeyed,Vanilla,anise,1,3,FALSE,1,2,29/07/2026 12:26:36,SESSION:p3,FALSE
p3,7,Roasted & Smoky,toasty,sour_milk,smoky,toasty,Maple-syrup,2,1,FALSE,4,2,29/07/2026 12:27:51,SESSION:p3,FALSE
p3,8,Roasted & Smoky,smoky,smoky,Coconut,butyric,toasty,0,2,FALSE,2,4,29/07/2026 12:29:22,SESSION:p3,FALSE
p3,9,Sweet & Gourmand,Coconut,Coconut,Maple-syrup,smoky,cumin,0,1,FALSE,3,4,29/07/2026 12:31:54,SESSION:p3,FALSE
p3,10,Citrus,currant,lilac,Myrrh,tangy,currant,3,1,FALSE,2,1,29/07/2026 12:33:18,SESSION:p3,FALSE
p3,11,Floral,jasmine,jasmine,lilac,currant,lemony,0,0,TRUE,2,2,29/07/2026 12:34:37,SESSION:p3,FALSE
p3,12,Floral,rose,guava,rose,lavender,tangy,1,3,FALSE,4,4,29/07/2026 12:36:01,SESSION:p3,FALSE
p3,13,Chemical & Solvent,burnt_rubber,aftershave,burnt_rubber,fishy,disinfectant,1,1,TRUE,3,4,29/07/2026 12:37:33,SESSION:p3,FALSE
p3,14,Body & Animalic,sweaty,feces,sweaty,bad_breath,nail-polisher,1,1,TRUE,1,3,29/07/2026 12:39:14,SESSION:p3,FALSE
p3,15,Chemical & Solvent,chlorine,nail-polisher,bad_breath,perfumer,chlorine,3,1,FALSE,2,4,29/07/2026 12:40:33,SESSION:p3,FALSE
